respondent_id,age,gender,income,region,value_orientation,moral_self_score,q1,q2,q3,q4,q5
470,35,女,低收入,城市,混合,3,5,5,5,3,2
471,45,男,高收入,农村,个人主义,5,3,2,4,2,3
472,64,男,中等收入,城市,个人主义,7,1,1,3,3,4
473,46,女,中等收入,城市,集体主义,2,3,2,3,2,5
474,26,女,中等收入,农村,混合,4,1,4,5,1,2
475,64,女,高收入,农村,个人主义,2,3,5,3,3,3
476,25,男,高收入,农村,个人主义,4,2,3,3,5,1
477,20,男,高收入,农村,混合,7,5,1,5,2,1
478,58,女,低收入,农村,集体主义,1,4,2,3,2,3
479,36,女,高收入,农村,集体主义,2,4,5,3,1,2
480,49,男,高收入,城市,集体主义,9,4,5,1,2,2
481,66,女,低收入,城市,混合,5,4,1,5,3,1
482,59,女,高收入,农村,个人主义,3,1,1,5,5,2
483,68,男,低收入,城市,混合,10,2,2,5,3,2
484,26,女,中等收入,城市,个人主义,3,3,4,2,2,2
485,18,女,低收入,城市,个人主义,6,2,1,1,3,5
486,26,男,中等收入,城市,混合,8,2,3,5,4,4
487,69,女,高收入,农村,混合,1,1,3,4,5,2
488,51,女,中等收入,农村,个人主义,9,3,4,4,5,3
489,52,女,低收入,城市,混合,9,4,5,2,1,2
490,24,女,低收入,农村,个人主义,4,2,2,3,3,1
491,47,男,高收入,农村,集体主义,8,3,5,5,4,4
492,26,男,中等收入,农村,集体主义,3,4,2,1,3,5
493,61,男,中等收入,农村,集体主义,5,5,2,3,2,3
494,52,女,中等收入,城市,个人主义,1,1,2,4,3,4
495,23,女,低收入,农村,混合,9,4,3,1,2,1
496,24,男,高收入,城市,集体主义,5,5,2,1,1,4
497,25,男,低收入,农村,集体主义,2,4,2,4,4,1
498,47,女,中等收入,农村,集体主义,4,5,5,1,4,4
499,49,女,高收入,城市,个人主义,3,2,4,4,2,2
500,46,女,低收入,城市,集体主义,8,4,2,5,1,2
